proxyWallet,side,conditionId,size,price,timestamp,title,slug,eventSlug,outcome,outcomeIndex,name,total_trade_value,winnings,user_mean_winnings,user_number_of_trades,user_trades_before_this_trade,user_trades_after_this_trade,user_90th_percentile_winnings,Insider_scores
0x510904c9a58f5c5ad799a1b44947077564175e9c,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,1229.74,0.1389449802397254,1770428687,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,Logan.,170.8662,1058.8738,290.4279620595238,84,20,63,574.661257500001,Low Risk
0x510904c9a58f5c5ad799a1b44947077564175e9c,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,1200.0,0.14,1770435069,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,Logan.,168.00000000000003,1032.0,71.39539499233716,261,23,237,164.9934,Low Risk
0x270e9b6b04665e212762a018214dd023a52b2930,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,600.0,0.25,1770413063,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,Danieu,150.0,450.0,142.71826766463414,164,142,21,195.02965300000005,Low Risk
0xcf29722af564119a50ae0d5b6afc2e08010577d1,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,896.788822,0.1672634574831933,1770465419,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,gambler.eth,149.999999,746.788823,293.75754770454546,88,72,15,686.5628713999994,Low Risk
0x1dc0db14e3ca9591ca7196305f75eeb750f5099d,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,724.110665,0.1422434497633038,1770459233,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,BrokeByChoice,102.99999900000002,621.110666,293.75754770454546,88,71,16,686.5628713999994,Low Risk
0xbe216a3f27d7e5d9cd7d7234144b8cf895a365e5,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,556.11111,0.1798201783812591,1770453551,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,salomonherro3,99.99999900000002,456.11111100000005,83.24599600909089,110,87,22,162.1504866000001,Low Risk
0xdae199000e53b3cccfb81b13eee12fedcc287a4d,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,434.782607,0.229999998597,1770440033,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,BUGGY,99.999999,334.782608,841.2462654183676,98,10,87,2484.7848713999997,Low Risk
0xdae199000e53b3cccfb81b13eee12fedcc287a4d,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,434.782607,0.229999998597,1770440293,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,BUGGY,99.999999,334.782608,1107.5541444302326,172,68,103,1406.579115,Low Risk
0x2835c2947f98bb304d1636c973de65b9564f2b42,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,588.235293,0.169999998623,1770454385,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,DrearyCritic18364592,99.999999,488.23529399999995,271.79336359398496,266,157,108,675.143633,Low Risk
0x56471a1042a97a710bc1889814487b6705047cbe,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,416.458332,0.2399999983671835,1770416497,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,unibetz,99.949999,316.508333,96.676333536,3221,2688,532,186.2286000000001,Low Risk
0x56471a1042a97a710bc1889814487b6705047cbe,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,399.76,0.25,1770417081,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,unibetz,99.94,299.82,171.21991113194443,576,416,159,463.99778200000003,Low Risk
0x46e1a35c23dbf3ce204db3d7a063c667da3549e7,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,627.0,0.15,1770463009,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,,94.05,532.95,171.21991113194443,576,417,158,463.99778200000003,Low Risk
0xcc3e87226912d35893b678eaa8a39d57b6fe37ef,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,1756.0,0.05,1770404845,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,LadyLuck2,87.80000000000001,1668.2,74.11159287499999,136,131,4,212.67779,Low Risk
0xd34bf815245d5bcea098cb0ea17df360b5c50004,BUY,0x70705ca527ecbcbdb5ebc5f648a5b0f3e765a0839d5889f6fae7e80c7e036625,500.0,0.16,1770468733,Will Lady Gaga perform during the Super Bowl LX halftime show?,will-lady-gaga-perform-during-the-super-bowl-lx-halftime-show,who-will-perform-at-super-bowl-halftime-show,No,1,Jest55,80.0,420.0,74.11159287499999,136,132,3,212.67779,Low Risk
0xb63ac06f20eed05d0a34f61116d0580a0afb4064,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,282924.93,0.12,1772261329,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,plzdontdropout,33950.9916,248973.93839999998,73004.93951655558,9,0,8,223447.36798620003,High Risk
0x4166fdb26e8a32679c42f399ce95a13bebe9b3c7,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,314239.830651,0.0317088065486719,1772262947,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,mr-hodl,9964.17,304275.66065100004,979.0081282350002,4000,3992,7,229.03642200000004,Low Risk
0xbacd00c9080a82ded56f504ee8810af732b0ab35,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,53618.83,0.0942206478582244,1772261459,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,ScottyNooo,5052.0009,48566.8291,22311.778486916664,48,42,5,50476.65050700004,Low Risk
0x523d695f22a172601a8fa8abdb7a229d58a72b5e,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,34776.144665,0.1437767195635169,1772261287,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,whyyoubullyme,4999.999999000001,29776.144666,5341.020479476189,42,36,5,7408.998416299997,Low Risk
0xbacd00c9080a82ded56f504ee8810af732b0ab35,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,49669.7,0.0987859983048015,1772261467,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,ScottyNooo,4906.6709,44763.0291,18601.71956791139,79,76,2,32162.280443400003,Low Risk
0xc6301da213480c28dc2d2c27cea7b4f0f819526e,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,29166.666665,0.1199999999725714,1772261301,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,SlavicThug,3499.999999,25666.666666,2445.5377909310346,58,30,27,1047.0490752000028,Low Risk
0xaabb44e7746e36af8c6f1b5e996a06669d00fa95,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,32936.018,0.0910856922655313,1772261585,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,Anittamaxwynn,3000.0,29936.017999999996,3104.5066163809997,4000,3011,988,1663.1258980000005,Low Risk
0x6095156546880e6f542dc65f119a44c7106eb9fb,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,41930.478,0.0617464938033856,1772262461,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,JohanKatz,2589.0600000000004,39341.418000000005,1253.513615715182,797,642,154,2056.7394719999998,Low Risk
0x3e54b40e183b6d4b213006c20e38ee578500a908,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,50000.0,0.049729456,1772261809,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,goldbless-,2486.4728,47513.5272,3060.690274081633,49,43,5,6917.083666000011,Low Risk
0x5060b41a1be40a63b7da2075e42479b29157a780,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,33371.264,0.0299659012017045,1772262155,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,Fancyi,1000.0,32371.264000000003,3104.5066163809997,4000,3012,987,1663.1258980000005,Low Risk
0x5060b41a1be40a63b7da2075e42479b29157a780,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,34581.688708,0.0289170377838912,1772263069,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,Fancyi,999.999999,33581.688709,634.9522592779999,4000,3993,6,289.7560340000001,Low Risk
0xef5a035ee151068da0ac977dace93784c24cb17d,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,27681.666665,0.0359999999660425,1772262699,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,BeterCallSaul,996.539999,26685.126666,10512.76750817647,17,0,16,36173.6077192,High Risk
0xf769c6390f6d564fe4859effbddb682c62660114,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,48200.88,0.014,1772263637,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,MrMarket,674.81232,47526.06768,17307.713578846156,39,31,7,47650.898100000006,Low Risk
0x7e5246abed17a5cff43a17b55b30f982f45200f5,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,39090.62,0.013,1772263515,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,0x7E5246ABED17A5cFF43A17B55B30F982f45200f5-1771073039758,508.17806,38582.441940000004,718.162441175824,273,149,123,971.765647,Low Risk
0xc5fc5449ec54d666fa7aeb6d6574e7e82aa4b579,BUY,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,29775.574665,0.0134338296909575,1772263653,"US strikes Iran by February 28, 2026?",us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,us-strikes-iran-by,No,1,YYzzy,399.999999,29375.574666,470.0369076434011,788,748,39,857.142857,Low Risk
