proxyWallet,side,conditionId,size,price,timestamp,title,slug,eventSlug,outcome,outcomeIndex,name,total_trade_value
0x45d59c4d70128ce7969124b515549aafb90e47ef,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,30030.03,0.999,1767510441,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,sports-professional,29999.999969999997
0x99dd407b80e45874638d783f54b0d8c097544303,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,30000.0,0.999,1767533959,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,weaklei,29970.0
0xfcf2378f20cf408d077c21e731272f21cccea469,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,30000.0,0.997,1767447063,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Roflan-ludoman,29910.0
0xfcf2378f20cf408d077c21e731272f21cccea469,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,26831.67,0.998,1767454487,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Roflan-ludoman,26778.00666
0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,25802.54,0.9899942370014735,1767432795,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Alexparker,25544.3659
0x2f4ad5b6f519118f3d968fbbdbe5c6a7b9227c9f,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,25000.0,0.999,1767684447,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,superSOLdeir,24975.0
0x2f4ad5b6f519118f3d968fbbdbe5c6a7b9227c9f,SELL,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,25000.0,0.999,1767683095,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,superSOLdeir,24975.0
0xbdde4a18c01db2488b36adaf2abcd870b449c019,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,25000.0,0.9989778,1767451687,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,dooby,24974.445
0x25a7fcfe11abd6ae873148584fa3e1b6aa98a4c8,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,24392.0,0.999,1767510871,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,loser-star,24367.608
0x8055ae09bfeeac2f46dffe254cc1868f2df444c4,BUY,0xbfa45527ec959aacc36f7c312bd4f328171a7681ef1aeb3a7e34db5fb47d3f1d,22546.0,0.999,1767535407,Maduro in U.S. custody by January 31?,maduro-in-us-custody-by-january-31,maduro-in-us-custody-by-january-31,Yes,0,Lisbon,22523.454
